authors,category,content,date,id,img_src,section,tags,title,topics,url
Jon Russell,Asia,"Regular run-ins with government regulators and battles with well-funded local rivals have made Asia challenging terrain for Uber. The challenge is such that it’s fitting that the U.S. ride-sharing giant has hired a man who once scaled the summit of Mount Everest to lead its business in the region.
Brooks Entwistle, a former Chairman of Goldman Sachs Southeast Asia, was announced today as Uber’s Chief Business Officer, Asia Pacific.
“After twenty years working in Asia, I couldn’t turn down the opportunity of shaping how the region moves over the next twenty,” Entwistle, who joins Uber from PE firm The Everstone Group, said in a statement.
In the role he’ll be responsible for business development, corporate development and marketing across Asia, excluding India and China, the latter being a market where Uber is no longer present. Interestingly, Uber said Entwistle will have a focus on “autonomous vehicle alliances.” While Uber has made progress on self-driving cars in the U.S. through its Otto unit — now known as Uber ATG — the company has yet to make a move in Asia, unlike rival Grab which partnered with MIT spin-off Nutonomy last year.
Also notable in Uber’s announcement are plans to “explore new opportunities to invest and grow our presence through strategic partnerships and investment opportunities.”
That looks like Uber will be doing investment deals across Asia, helping it catch up with a strategy that Grab has used in Southeast Asia to expand its business beyond merely ferrying passengers from point A to point B.
Grab is developing a payment platform to help reach users and develop increased loyalty, and it has put particular emphasis on Indonesia — the region’s largest economy. Earlier this year, Grab announced a $700 million program dubbed ‘Indonesia 2020,’ which includes an allocation of upwards of $100 million for investment in startups and other local initiatives.
Grab quickly got into that budget with the acquisition of Kudo, which sources told TechCrunch was priced at $80 million-$100 million, but it has indicated an interest in deploying more capital to help spread its base and business.

Uber may well be looking to follow in Grab’s footsteps and make investments of its own to growth its marketshare, which indicators suggest has fallen lately as Grab — which recently raised $2 billion from Didi and SoftBank — has pushed the accelerator to the floor.
Entwistle will also have government relationships to work out. Just this week Uber was suspended in the Philippines for a month, it is also currently out of action in Macau and has been knee-capped in Taiwan, where it recently returned with a licensed taxi service after UberX was ruled to be illegal. It has also scrapped with regulators in Hong Kong, Thailand and Indonesia among other places over the past year.
With talk of a potential Uber exit from Southeast Asia in some media, there’s also an argument that Entwistle could be a deal-maker who looks for the kind of amicable departure that Uber found in China last year and again in Russia this year.
Such talk ballooned up after Grab raised its recent funding round and, while watching a key ally refuel its war chest is a blow, Uber’s position across Southeast Asia isn’t so far behind that it should needs to concede. However, if it deems itself to be losing ground in the U.S. then it isn’t impossible to imagine resources being diverted to protect that the home turf above all others.
But there’s much more to come in Southeast Asia where the ride-hailing industry is only getting started. A 2016 report co-authored by Google forecast that annual revenue could surpass $13 billion by 2025, up from an estimated $2.5 billion in 2015.",2017-08-16,1527903,https://tctechcrunch2011.files.wordpress.com/2017/07/uber-support-ios.jpg?w=738,asia/,"asia,transport,topography",Uber’s new head of Asia is a former Goldman exec who once climbed Mount Everest,uber,https://techcrunch.com/2017/08/16/uber-asia-brooks-entwistle/
Jon Russell,Asia,"Tencent, Asia’s highest valued technology company, posted a record quarterly profit of $2.7 billion (18.2 billion RMB) thanks to explosive growth from mobile games.
The firm’s profit in Q2 2017 rocketed 70 percent year-on-year on the back of the success of Tencent’s mobile games, particularly smash hit Honour of Kings which claims over 200 million registered users.
Honour of Kings, the world’s highest-grossing mobile game, helped the Tencent mobile gaming business eclipse total income from its PC gaming business for the very first time, growing 54 percent to hit 14.8 billion RMB, $2.2 billion. That mobile gaming figure represented a large chunk of Tencent’s overall quarterly revenues of 56.6 billion RMB ($8.49 billion) for the quarter — that figure is up 59 percent annually.
PC games were no slouch, pulling in 13.6 billion RMB ($2 billion) in revenue for the period. All in all, Tencent said its online games business grossed 23.9 billion RMB ($3.6 billion), with growth climbing seven percentage points to reach 39 percent year-on-year growth.
There is some uncertainty going forward, however, since Tencent began to limit how much time users aged 18 and below can spend inside Honour of Kings and other titles. The limitations were announced in July, and while CEO Pony Ma said in a statement today that they will “ensure users play games in a healthy manner,” it remains to be seen whether (and how) revenue will be impacted.
Outside of games, Tencent said its WeChat messenger app, which dominates China, was also a star performer. Its monthly active user count reached a new high of 963 million, although growth slowed from 34 percent last year to 19.5 percent.
Tencent doesn’t disclose how many of that WeChat userbase is based in China, where it offers a rich set of services that better monetizes users, while it is also selective with the financial information it reveals around the app. It did state, though, that WeChat advertising was a key factor in growing its social advertising business to 6 billion RMB ($900 million), up 61 percent annually.
Revenue for Tencent’s general online advertising business, which is anchored by its video and news services, was up 55 percent to 10.1 billion RMB, or $1.5 billion. Other revenue, which includes its aggressively marketed cloud computing service and payment services, more than doubled to reach 9.7 billion RMB ($1.5 billion).
Note: The original version of this article was updated to correct Tencent’s quarterly revenue figures",2017-08-16,1527435,https://tctechcrunch2011.files.wordpress.com/2017/04/gettyimages-623625650.jpg?w=738,asia/,"world-wide-web,rss,tencent,economy",Tencent posts record $2.7B profit as mobile game revenue tops PC for first time,,https://techcrunch.com/2017/08/16/tencent-posts-record-2-7b-profit/
Jon Russell,Asia,"Ant Financial, the Alibaba affiliated valued at $60 billion, is continuing to follow Chinese tourists and their wallets overseas after it inked a deal with Yelp in the U.S..
The partnership allows Alipay users — and there are over 500 million registered in China — to make payment through the service when they use Yelp for restaurant bookings. The launch initially covers restaurants in New York, Los Angeles, Las Vegas and San Francisco, but there are plans to expand more widely across the country.
There are also plans to launch a version of the app that is translated into Mandarin Chinese to help travelers.
This tie-in follows a major expansion from Alipay in the U.S. in May. The Chinese firm teamed up with First Data in a move that brings support for its mobile payment system to point-of-sales systems of more than four million retail partners in the U.S.. That’s a peg that this Yelp deal is hanging on, since the integration will only work for Yelp restaurant partners that accept Alipay.
Alipay also massively increased its potential with global retailers looking to reach Chinese consumers online when Stripe added support for its service earlier this summer. Stripe also added rival WeChat Pay from Tencent to its roster.
Together Alipay and WeChat Pay control over 90 percent of the mobile payment market in China. Increasingly they are casting their nets overseas to follow Chinese tourist spending which is predicted to grow significantly.
A recent report co-authored by Visa estimates that Chinese travelers’ overseas spending came in at $137 billion in 2015. That figure is forecast to increase by 87 percent over the next decade, taking China’s spending to double that of the U.S., and more than the UK, Russia and Germany combined.",2017-08-16,1527425,https://tctechcrunch2011.files.wordpress.com/2017/02/alipay-logos.jpeg?w=738,asia/,"yelp,ant-financial,alibaba-group,e-commerce",Alipay partners with Yelp to continue its pursuit of Chinese tourist money,,https://techcrunch.com/2017/08/16/alipay-partners-with-yelp/
Jon Russell,Asia,"Uber has suspended its services in Philippines after the national regulator banned it from operating for one month.
The country’s Land Transportation Franchising and Regulatory Board (LTFRB) ordered a cease and desist against the U.S. ride-hailing firm on Monday over its apparent flouting of a ban on new drivers. The company initially lodged an appeal and continued with its service, but today it confirmed it issued a “temporary” suspension from 7:30 pm local time on Tuesday.
“We are disappointed with the LTFRB’s decision to deny our Motion for Reconsideration, and will comply with the Order. We look forward to urgently resolving this matter, and thank the public for its support over the last 24 hours,” a spokesperson told TechCrunch.
The issues stem back to July when the LTFRB requested that Uber and rival Grab both stop allowing new drivers on to their services to give it time to catch up on a backlog of applications for drivers seeking ride-hailing permits.
The companies were reportedly fined close to $100,000 each for enabling large numbers of unregistered drivers to work. They were told to clean up their act and were permitted to register new drivers, so long as they didn’t hit the roads and work until the green light was given by authorities. Uber appears to have breached that agreement, while Grab — which remains open as usual in the country — told TechCrunch that it has not.
Grab said it has “adjusted” its prices to include a cap on surge fees in order to manage what is likely to be a lot more demand.
“In light of the recent order of the LTFRB, we find ourselves in a unique situation. We ask the patrons of ride-sharing to bear with us as there has naturally been an increase in bookings made on the Grab platform,” a spokesperson said.
A unique situation indeed — a world without Uber… just for a month and just in one country, at least.
The Philippines has blossomed into one of the most notable ride-hailing markets in Southeast Asia, particularly in capital city Manila. Alongside Singapore, it was one of the first two markets in the region where Uber reached profitability, as TechCrunch reported last year, while the country is understood to account for a sizable portion of revenue for Grab, too.
Uber has run into issues across Asia, but recent hotspots have included Taiwan, Macao, Hong Kong and Thailand.",2017-08-15,1527408,https://tctechcrunch2011.files.wordpress.com/2017/06/gettyimages-696041476.jpg?w=738,asia/,"car-sharing,commuting,business,transport",Uber suspends its service in the Philippines following ban over unregistered drivers,,https://techcrunch.com/2017/08/15/uber-suspends-its-service-in-the-philippines/
Jon Russell,Asia,"Apple continues to be locked out of China’s massive mobile payments space. The latest reminder came this week when Beijing’s transportation system opened up to smartphone payments… via an Android app.
Already Tencent’s WeChat Pay and Alibaba’s Alipay services dominate China’s mobile payment space, which is estimated to have processed $3 trillion last year, but now Apple has missed out being part of what is sure to be a very convenient usage case.
The Financial Times reports that Beijing’s public transport payments company Yikatong launched an app for ‘most’ Android devices that allows commutes to ditch their physical card and pay fares via their phone.
Apple isn’t included most likely because its operating system doesn’t support third-party payments like Yikatong, instead favoring its own Apple Pay. But it is also worth noting that iOS accounts for just 16 percent of all smartphones in China, according to data from Kantar as of March. Though the figure in urban areas is likely to skew in Apple’s favor, it doesn’t dominate which may be another factor.
It’s unclear whether potential iPhone owners would go to the lengths of buying an Android device just to use the transportation app, but it’s another piece of anecdotal evidence that shows the difficulty Apple is up against in China, where revenue was down 10 percent year-on-year in its most recent quarter of business.
Apple recently removed the popular tip feature from chat app WeChat, a move that some believe might tempt its users to move over to Android where it continues to exist. While WeChat itself, far and away the most popular Chinese app, has ‘leveled the playing field’ in some ways by standardizing parts of the mobile experience for users whether they are on iOS or Android, the latter of which is often (far) cheaper.
That said, analysts are optimistic that the forthcoming next iPhone — which has been heavily linked with a range of new features — can sell well in China if Apple is able to differentiate it from previous models. Time will tell, but missing out on wide deployments like Chinese public transport remains a blow.",2017-08-15,1526992,https://tctechcrunch2011.files.wordpress.com/2017/08/beijing-subway.jpg?w=738,asia/,"mobile-payments,computing,smartphones,technology",Beijing’s public transport system gets an app for paying fares — but Apple isn’t invited,,https://techcrunch.com/2017/08/15/beijing-public-transport-app/
Jon Russell,Asia,"Uber has inspired countless businesses to adopt its asset-light and on-demand approach to their industries. The examples are countless. Food delivery, dry cleaning, jet planes, home services rental bikes, or even phone chargers to name but a few — but how about farming equipment?
That’s the case in India, where a startup called EM3 AgriServices is helping rural farmers literally get their hands on specialist (and expensive) equipment and machines that would ordinarily be out of their reach. The goal is to help them earn their livelihood with cutting-edge tech without breaking the bank.
The concept is actually quite straightforward. EM3 works with farmers who own equipment like tractors, harvesters and other mechanical implements by allowing them to ‘rent’ out their assets to help pay off the purchase or generate additional revenue. Farmers, typically those in remote regional with small holdings and limited capital, then get access to quality implements and machines on a pay-as-you-use basis on either an hourly or acreage pricing.
That’s important when most farms in India are smaller than three acres. Tight economics, and a reliance on loans to make big-ticket purchases, are thought to be a key factor responsible for a high level of suicides among farmers over the past twenty years.
“The average Indian farm holding is just one percent of what you’d find in U.S., so farmers aren’t able to afford technology, even basic mechanization, because the capital load is too high,” EM3 founder and managing director Rohtash Mal (pictured above) told TechCrunch in an interview.
And he should know. Mal, a 63-year-old self-confessed “corporate world veteran,” started EM3 with his son Adwitiya Mal (CEO) in 2013 after a spell in charge of agriculture machinery manufacturer Escorts gave him a glimpse into the struggles of Indian farmers.
“In the farm equipment business one thing became clear, we did everything we could to help customers buy our products, but the fact is that the small farm could not afford the rate of technology,” Mal senior said.
“We’re inspired by what happens in tech world, but this hasn’t been done in agriculture before. The need wasn’t there in a lot of markets, such as the U.S., which were the foundation heads of technology, but the need is here in India,” he added.
The company calls its business farming-as-a-service — or Faas.
Unlike Uber, which has pioneered an online business model, EM3 is ‘tech-enabled’ rather than ‘tech.’ That’s to say that while it uses common on-demand tech to manage supply-demand, customer data and more, the majority of its business is offline. That’s because, quite simply, its customer base remains disconnected from the internet.
“The majority of farmers are not on smartphones,” Mal junior said. “The smartphone penetration is increasing but it isn’t at critical mass yet so we have a physical on the ground presence.”
So where there are apps for those ahead of the curve, EM3 operates call centers for handling requests from farmers — both inventory owners and prospective renters — and it deploys local representatives in the villages that it serves. But even the select farmers who are online and own smartphones find something comforting and secure about talking to a person on the other end of the phone when it comes to business matters that impact their life, the EM3 execs said.

To date, EM3 has focused on central parts of India where it claims to have worked with 8,000 farms through its 10 service centers. Mal senior explained that its platform covers machinery and services that span all seasons, but customer activity levels do vary during different parts of the farming calendar and based on location, crop type, etc.
The startup recently partnered with the local government of Rajasthan, India’s largest province by size and a major agriculture producer, to make a push into helping thousands more farmers. It is planning further forays, too, after raising significant funding from investors.
EM3 closed a $10 million in Series B financing led by Global Innovation Fund and VC firm Aspada which will be put to work expanding into more regions, increasing its inventory and developing tech. EM3 previously raised a $3.3 million Series A round led by Aspada in 2015.
Further down the line, Mal senior said he can envisage its business moving into other areas of a farmer’s business where it believes it can add value.
“There’s no other company [offering this service yet, but I’m sure there will be me-toos,” he said.
“We are still significantly ahead, but will have to add more and more to the menu of services to keep our lead. We want to become more dedicated to the farmer and look for more opportunities in farming and adjacent spaces.”
Already there is competition with Gold Farm and Trringo, a subsidiary of automotive conglomerate Mahindra & Mahindra, opening similar services over the past year.
Interest in agritech in India has heated up in recent years. Earlier in 2017, Accel backed AgroStar, a startup that offers a range of guidance and e-commerce services targeted at rural farmers, in its first deal in the sector. Plenty of other VCs in the country have expressed their interest about getting into the space, which has the potential to harness the power of technology to help many farmers in a profound way.",2017-08-15,1526956,https://tctechcrunch2011.files.wordpress.com/2017/08/em3.jpg?w=738,asia/,"business,renting,battery-charger,energy","In India, an Uber for farm machinery aims to make a difference in rural areas",,https://techcrunch.com/2017/08/15/em3/
Jon Russell,Asia,"India-based messaging app Hike is back on the acquisition trail after it picked up Creo, a hardware company that previously released smartphones, streaming devices and an operating system.
The price of the deal is undisclosed. Hike released a short statement late on Friday announcing the acquisition, although it does not appear that the 50-person Creo will continue to work on hardware.
“The Creo team will begin work on a developer platform to enable third party developers to build services on the Hike platform,” a Hike spokesperson said.
Creo recently slashed the price of its Mark 1 smartphone, and it confirmed on its website that it will be its last.
“To build our next product, we need all the focus and good luck we can. Owing to this, we will no longer be making new CREO Mark1 devices or releasing any software updates,” it wrote on its website.
Bangalore-based Creo was founded in 2013, it had raised $3 million and it has plenty of links with Hike. Founders Sai Srinivas Kiran G and Shubham Malhotra are former Hike employees, while Hike CEO Kavin Bharti Mittal is one of its investors alongside major names like Sequoia.
Unsurprisingly that led to plenty of rumors of an acquisition, with The Ken reporting last October that a deal was close. Bharti Mittal rejected the deal at the time saying that Hike talks to many companies at any given time.
The deal is Hike’s third acquisition. It bought WiFi calling startup Zip Phone in 2015 and live-streaming company Pulse, although it has not confirmed the latter deal. It was valued at $1.4 billion following a $175 million investment by Tencent last year. It has raised $261 million in total.",2017-08-11,1526124,https://tctechcrunch2011.files.wordpress.com/2016/11/hike2.jpg?w=738,asia/,"creo,software,technology,computing",Indian messaging app Hike acquires hardware startup Creo,,https://techcrunch.com/2017/08/11/hike-creo/
Jon Russell,Asia,"Now is a good time to be in the co-working industry in Southeast Asia, it seems. Barely days after WeWork announced plans to enter the region, which is home to over 600 million people, through the acquisition of Singapore startup Spacemob, now a company that operates like an Airbnb for office space rentals has raised money.
FlySpaces, a startup headquartered in the Philippines, raised $2.1 million this week in funding round described as pre-Series A.
The company operates a service that aggregates a selection of co-working spaces in six cities across Asia — Manila and Cebu in the Philippines, Singapore, Hong Kong/Macau, Kuala Lumpur and Jakarta. It was launched in 2015 with $500,000 in initial financing, and CEO and co-founder Mario Berta was previously with Rocket Internet’s Uber rival Easy Taxi.
While its core focus is office space rentals, Berta told TechCrunch that FlySpaces has diversified into other enterprise verticals including event venues, retail space and corporate dining. He said other expansions may see it move into billboard spaces.
“We’re looking at how we can cross sell other things into this space once we acquire a customer,” Berta said.
On the business side, the FlySpaces makes money through commissions on bookings made through its site. It retains a cut when a customer that first found a space through its service signs on for a longer leasing, Berta confirmed. That seems essential when most people might book a day or another short lease to test an office before committing to a longer booking. In addition, the company also runs some ads selectively, but that accounts for less than 25 percent of income.
Berta said his company is already profitable but it sought out investment to ramp up its growth through hiring, increased marketing and product development. The backing comes from undisclosed players in the retail space — although one named investor Net Group co-president Raymond Rufino — because Berta found that tech VCs “don’t understand” the FlySpaces business. But he admitted that there’s the potential to be more strategic with these backers.
FlySpaces already covers the main markets where English is a primary language for business in Southeast Asia, and Berta said that while there is no immediate plan for further country launches, he’d like to be in all ASEAN countries eventually. That’ll necessitate moves into Thailand, Vietnam, Laos and Cambodia at some point.
Speaking generally on the industry — which now includes WeWork in Southeast Asia — Berta said that one of his biggest frustrations is that co-working spaces are commonly thought to be focused on tech startups and freelancers. A point he said isn’t true.
“It’s huge misconception, the money is in SMEs and corporates,” he argued. “It’s ideal for companies who don’t want to invest in capex and want to maximize their office space.”
Some of the customers that have used FlySpaces include Google, P&G, Media Corp and Uber, according to its website.",2017-08-11,1526022,https://tctechcrunch2011.files.wordpress.com/2017/06/gettyimages-566352405.jpg?w=738,asia/,"coworking,business","FlySpaces, an Airbnb for office space in Southeast Asia, raises $2.1M",,https://techcrunch.com/2017/08/11/flyspaces/
Jon Russell,Asia,"China continues to crack down on online media after the government announced that it is investigating three of the country’s most influential social networks for hosting illicit content.
The Office for Cyberspace Administration is looking into content on chat app WeChat, micro-blogging platform Weibo and web forum Baidu Tieba, each of which stands accused of failing to stamp out material that “jeopardised national security,” the BBC reports.
Principally that includes content related to terrorism, pornography and other obscenities, the office said. Companies like Tencent, which is Asia’s most valuable tech company, and Weibo already aggressively police content on their platforms, but evidently aren’t doing so at a level that pleases the government.
The crackdown follows the closure in June of around 60 celebrity gossip accounts on WeChat, China’s largest messaging app with over 600 million users. The influential accounts were accused of disseminating similarly illegal content. The agency said at the time that media should “actively propagate core socialist values, and create an ever-more healthy environment for the mainstream public opinion.”
Today’s news follows a major setback for free speech in China when Apple pulled a range of popular VPN apps from its Chinese App Store. The apps allow people to circumvent China’s ‘Great Fire Wall’ internet censorship system, but Beijing has outlawed any that do not operate with government-approved permits.
China recently upgraded its censorship apparatus to add new capabilities that have allow it to partially disrupt communications made through WhatsApp and WeChat. That’s of course in addition to blocking websites such as Facebook, Twitter and Google as well as media including The New York Times and Wall Street Journal.
China’s implemented new cybersecurity laws on June 1 and, though the full scope is unclear, they are believed to have the potential to impact foreign businesses. Apple is among the first to have moved accordingly after it announced plans to develop its first datacenter in China to comply with the regulations.",2017-08-11,1526001,https://tctechcrunch2011.files.wordpress.com/2016/06/shutterstock_325058183.jpg?w=738,asia/,"web-hosting,china,cybercrime,censorshit",China’s top social networks face investigation for hosting porn and illicit content,,https://techcrunch.com/2017/08/11/tencent-baidu-weibo-investigation-china/
Jon Russell,Asia,"This week seems to be a good one for media streaming companies in Asia. Hot on the heels of Malaysia-based Iflix raising $133 million for its Netflix-like service for emerging markets, Hong Kong’s PCCW has pulled in $110 million for its range of video and music streaming services.
Hony Capital, which recently backed WeWork’s China business, Foxconn Ventures and Singapore sovereign fund Temasek have taken an 18 percent share in the PCCW International OTT business. PCCW Media, which is listed on the Hong Kong Stock Exchange, will retain majority ownership.
The business operates three digital products, video streaming service Viu, short clip service Vuclip and music service MOOV. Viu is available in 15 countries in Asia and the Middle East with 12 million monthly active users. It takes a hybrid model offering both paid subscriptions and ad-supported user options. Vuclip, which was acquired two years ago, differentiates by offering shorter videos in 19 countries across India, Southeast Asia, the Middle East and Africa.
On the music side, PCCW Media has MOOV which is available in Hong Kong. It expanded to Vietnam last year, where the firm sees potential among a young popular with booming 3G data subscriptions.
In an interview with TechCrunch, Janice Lee, PCCW Media managing director, said the business didn’t need to raise capital since it is funded by its parent, but the deal is driven by potential synergies.
“We saw that there are strategic investors we feel we are very complementary [and] playing in different parts of the OTT space. Foxconn is a transforming company [while] Temasek and Hony have [backed] companies that have been successful in the media space,” Lee said.
Foxconn in particular, which is best known as a key Apple manufacturer, could open the door to hardware products in the future, although didn’t elaborate on that in detail.
“It’s a direction where we see cooperation,” she said. “There are definitely commercial synergies to working together.”
Indeed, Foxconn has made a sustained push into internet-of-things and media in recent times. That’s particularly clear with its investments, which have included Chinese dock-less bike rental company Mobike, audio maker Devialet, next-gen display startup DigiLens, Indian chat app Hike and SoftBank’s colossal $100 billion Vision Fund.
PCCW Media has aggressively expanded its video services with a pipeline of market launches over the past year or so, and Lee said that the primary focus now will be getting deeper into its existing markets. There may still be country launches, but adding new content — including the company’s own original productions out of Hong Kong and markets like India and Indonesia — is the immediate priority alongside product development and localization tweaks.
The overall strategy is to take a local approach to content — not unlike Iflix — to gain engagement in individual market. Already though, PCCW Media claims its most engaged users are on its service for upwards of 1.3-1.8 hours per day, consuming more than 15 videos per week.
As for MOOV, PCCW Media has been more measured with its approach with just two active markets.
“We selectively assess where we go next,” Lee explained, since the company believes that, for now in Asia, “video is much more ready for monetization for both advertising and subscriptions.”",2017-08-10,1525535,https://tctechcrunch2011.files.wordpress.com/2017/08/screenshot-2017-08-10-19-36-58.png?w=738,asia/,"distributed-computing,iflix,pacific-century-group",PCCW Media raises $110M for its video and music streaming services in Asia,netflix,https://techcrunch.com/2017/08/10/pccw-media-raises-110m/
